"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1976157093930705129,""Thu Oct 09 05:25:41 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/qkn2YqLgUu"",""1976157093930705129"",""https://pbs.twimg.com/media/G2y4ZY0b0AAFbpy.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976157093930705129"",""1520962718240366592"",";;
"1976068681475162345,""Wed Oct 08 23:34:21 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/ycks2yuoGE"",""1976068681475162345"",""https://pbs.twimg.com/media/G2xn-9bbMAAgV5r.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976068681475162345"",""1520962718240366592"",";;
"1972077186753744921,""Sat Sep 27 23:13:35 +0000 2025"",""1"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/uxw6ZywWmp"",""1972077186753744921"",""https://pbs.twimg.com/media/G145vaHbsAAmAjt.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1972077186753744921"",""1520962718240366592"",";;
"1971825815194378676,""Sat Sep 27 06:34:43 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/BN5Qd6rJeB"",""1971825815194378676"",""https://pbs.twimg.com/media/G11VGn-bEAAWzsY.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1971825815194378676"",""1520962718240366592"",";;
"1971349507897164248,""Thu Sep 25 23:02:03 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/zsja4kaPyp"",""1971349507897164248"",""https://pbs.twimg.com/media/G1uj64HaAAEAU0X.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1971349507897164248"",""1520962718240366592"",";;
"1971147750558531785,""Thu Sep 25 09:40:20 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/CWcCAytc2o"",""1971147750558531785"",""https://pbs.twimg.com/media/G1rsalBaAAQVTse.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1971147750558531785"",""1520962718240366592"",";;
"1971078567481254211,""Thu Sep 25 05:05:26 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/jV6R9BW2gc"",""1971078567481254211"",""https://pbs.twimg.com/media/G1qtgHlaAAECt58.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1971078567481254211"",""1520962718240366592"",";;
"1971000460346785899,""Wed Sep 24 23:55:03 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/jkPqySkrX0"",""1971000460346785899"",""https://pbs.twimg.com/media/G1pmaCkboAAbiuD.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1971000460346785899"",""1520962718240366592"",";;
"1970813876402114768,""Wed Sep 24 11:33:38 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/atOiB5MgUI"",""1970813876402114768"",""https://pbs.twimg.com/media/G1m8xQia0AAXEyC.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970813876402114768"",""1520962718240366592"",";;
"1970729384442241080,""Wed Sep 24 05:57:54 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/Zoz45NP1oZ"",""1970729384442241080"",""https://pbs.twimg.com/media/G1lv7AJaoAEQT-e.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970729384442241080"",""1520962718240366592"",";;
"1970639938355110090,""Wed Sep 24 00:02:28 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/9shjWEjbKX"",""1970639938355110090"",""https://pbs.twimg.com/media/G1kektyaoAEoeYT.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970639938355110090"",""1520962718240366592"",";;
"1970488774569365575,""Tue Sep 23 14:01:48 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/f2jGzGozll"",""1970488774569365575"",""https://pbs.twimg.com/media/G1iVFjraoAMrlnd.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970488774569365575"",""1520962718240366592"",";;
"1970379336487522517,""Tue Sep 23 06:46:56 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/BxtTMEsNcd"",""1970379336487522517"",""https://pbs.twimg.com/media/G1gxjiobcAActkl.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970379336487522517"",""1520962718240366592"",";;
"1970305303481930219,""Tue Sep 23 01:52:45 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 500pcs worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/M8hWvXkYrg"",""1970305303481930219"",""https://pbs.twimg.com/media/G1fuNXUbkAAiLEB.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1970305303481930219"",""1520962718240366592"",";;
